city,state,zip,price,sqft,bedrooms,bathrooms
Los Angeles,CA,90005,2000000,4788.0,8.0,6.0
Los Angeles,CA,90005,659000,1340.0,3.0,2.0
Los Angeles,CA,90005,749000,1509.0,3.0,2.0
Los Angeles,CA,90005,789000,1862.0,3.0,3.0
Los Angeles,CA,90005,2350000,2774.0,5.0,3.0
Los Angeles,CA,90005,850000,1860.0,3.0,3.0
Los Angeles,CA,90005,1190000,2040.0,3.0,4.0
Los Angeles,CA,90005,1800000,2818.0,4.0,3.0
LOS ANGELES,CA,90005,3500000,8437.0,NA,NA
Los Angeles,CA,90005,NA,1099.0,2.0,1.0
Los Angeles,CA,90005,NA,7506.0,12.0,8.0
Los Angeles,CA,90005,NA,1637.0,3.0,2.0
Los Angeles,CA,90005,NA,2433.0,5.0,2.0
Los Angeles,CA,90005,NA,1310.0,3.0,2.0
Los Angeles,CA,90006,3590000,8100.0,14.0,12.0
Los Angeles,CA,90006,199000,280.0,0,1.0
Los Angeles,CA,90006,989000,2162.0,4.0,2.0
Los Angeles,CA,90006,735750,1327.0,3.0,2.0
Los Angeles,CA,90006,595000,1250.0,2.0,2.0
Los Angeles,CA,90006,1399000,5864.0,13.0,8.0
Los Angeles,CA,90006,3900000,13365.0,0,24.0
Los Angeles,CA,90006,580000,1248.0,2.0,2.0
Los Angeles,CA,90006,649750,1240.0,2.0,2.0
